status;source_list;compare_list;product_number;Artikelnummern::Zelllinie;Datenbank_Import_05052026::Designation
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302225;MARC-145;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;602282;MDCK-H-SIAT;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305244;MEF (NIF) (#240 auf vial);
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;304293;Monozyten, human, aus Buffy coat isoliert;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302201;NH (NH Acalis);
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302214;PauCa #13;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;301901;PBMC;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305152;PC-12 (undifferentiated)  Suspension;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300314;PDEC;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;607427;Porc1;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;607428;Porc2;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;607429;Porc4;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300233;RC-142;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302226;RF/6A;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305536;SBC-2;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;603481;sciCHO (CHO-K1-S);
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;603483;sciCHO (CHO-K1-S);
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;613481;sciCHO, electro-competent;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300171;SCLC-16H - entspricht SCLC-21H;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305596;SDOW-17;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;304191;T Lyphozyten, human, aus Buffy coat isloiert;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;820900;TC 100 Insekten Medium, mit L-Glutamin, Gentamicin und 10% FBS (für SF9);
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300301;TNC;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302203;Tu Colon;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305239;UMR-196;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305650;USC (diverse Spender);
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302227;VERO;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302228;Vero E6;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302202;W-Arc;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;410376;WEHI-3b-CDM;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;830100;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;830500;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305303;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;840200;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;831100;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;800150;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;800125;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;831105;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;820400;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;820401;;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;820200;;
